card_id,altura,codigo_clube,codigo_liga,codigo_nacionalidade_player_raw,codigo_tipo_carta_fisico,forma,idade,jogador_indisponivel,marcador_subtipo_tipo_carta,nome,pe,pe_ruim_precisao,pe_ruim_uso,peso,resistencia_lesao
100012,186,,,472,0,1,38,True,0,Juan Carlos,Direito,0,0,85,Média
100022,173,,,472,0,1,29,True,0,Sebas Moyano,Direito,1,1,66,Alta
100057,185,260,119,472,0,1,31,False,0,Einar Galilea,Esquerdo,1,1,77,Média
100090,195,,,292,0,1,36,True,0,Caio Secco,Direito,1,1,88,Média
100108,183,,,430,0,1,33,True,0,Lorenzo Crisetig,Esquerdo,2,2,80,Média
100111,178,,,430,0,1,34,True,0,Jacopo Dezi,Direito,2,2,69,Baixa
100112,180,122,116,430,0,2,32,False,0,Danilo Cataldi,Direito,2,1,70,Alta
100117,185,186,116,430,0,2,32,False,0,F. Bernardeschi,Esquerdo,1,1,77,Baixa
100133,192,,,452,0,0,36,False,0,Ørjan Nyland,Direito,2,1,90,Média
100135,194,120,116,430,0,1,36,False,0,Carlo Pinsoglio,Esquerdo,1,1,85,Média
100144,189,4272,340,472,0,0,34,False,0,Ignasi Miquel,Esquerdo,1,1,80,Média
100150,183,6069,337,408,0,1,35,False,0,Matty James,Direito,2,1,76,Baixa
100159,179,,,408,0,1,39,True,0,Jamie Vardy,Direito,2,2,74,Baixa
100177,176,4218,346,430,0,1,32,False,0,Niccolò Belloni,Esquerdo,1,1,73,Média
100181,177,4228,346,430,0,1,34,False,0,Salvatore Molina,Direito,2,2,74,Média
100187,191,4948,759,390,0,2,34,False,0,Eddy Israfilov,Direito,2,1,80,Baixa
100196,186,259,119,472,0,1,37,False,0,Kike García,Direito,1,1,79,Média
100205,185,357,340,472,0,1,36,False,0,Fernando Martínez,Direito,1,1,85,Média
100219,187,261,340,468,0,1,31,False,0,Martin Valjent,Direito,2,2,83,Média
100224,181,258,119,472,0,1,36,False,0,Yuri Berchiche,Esquerdo,0,0,79,Baixa
100230,174,,,304,0,1,34,True,0,César Falletti,Direito,1,1,78,Alta
100241,184,4377,346,430,0,1,33,False,0,Filippo De Col,Direito,1,1,80,Baixa
100246,192,377,113,408,0,1,35,False,0,Lewis Dunk,Direito,1,1,88,Média
100261,180,,,408,0,1,32,True,0,Solly March,Esquerdo,2,0,72,Baixa
100265,186,5962,476,166,0,1,34,False,0,Mame Thiam,Direito,1,2,79,Média
100286,188,4230,346,430,0,1,35,False,0,Simone Colombi,Direito,1,1,83,Média
100289,173,,,430,0,2,36,True,0,Gaetano Letizia,Direito,3,3,63,Baixa
100292,188,,,428,0,1,36,True,0,Kevin Long,Direito,1,1,83,Média
100297,180,,,408,0,1,37,True,0,Ben Mee,Esquerdo,1,1,74,Média
100299,178,208,337,408,0,1,36,False,0,Kieran Trippier,Direito,2,1,71,Baixa
100315,180,323,116,430,0,2,33,False,0,Stefano Sabelli,Direito,1,2,74,Alta
100316,183,263,119,472,0,1,33,False,0,Diego Rico,Esquerdo,0,0,76,Média
